ID,Politician,Party,Stance,Naming-Form
1005463720015917061,Alexander Gauland,AfD/Petry,neither,LN
1004135916074610689,Alexander Gauland,AfD/Petry,positive,LN
1013133605269368835,Alexander Gauland,AfD/Petry,negative,LN
1003999605980360705,Alexander Gauland,AfD/Petry,negative,TLN
1009063693185929216,Alexander Gauland,AfD/Petry,neither,TLN
1015572774071492608,Alexander Gauland,AfD/Petry,positive,FNLN
1012238616049995776,Alexander Gauland,AfD/Petry,negative,LN
1014541739447803906,Alexander Gauland,AfD/Petry,positive,TLN
1014583773923602432,Alexander Gauland,AfD/Petry,positive,TLN
1003962692871344128,Alexander Gauland,AfD/Petry,positive,TLN
1004024337131868160,Alexander Gauland,AfD/Petry,negative,LN
1006917453929119744,Alexander Gauland,AfD/Petry,positive,TLN
1009854147351457799,Alexander Gauland,AfD/Petry,negative,FNLN
1006590009166753797,Alexander Gauland,AfD/Petry,positive,FNLN
1013064735317811200,Alexander Gauland,AfD/Petry,negative,LN
1009062923640147969,Alexander Gauland,AfD/Petry,neither,TLN
1018346047553359872,Alexander Gauland,AfD/Petry,negative,TLN
1013353124885598208,Alexander Gauland,AfD/Petry,negative,LN
1017057965709365249,Alexander Gauland,AfD/Petry,positive,TLN
1017787204620423168,Alexander Gauland,AfD/Petry,positive,TLN
1014476656696811520,Alexander Gauland,AfD/Petry,neither,LN
1010881850506711041,Alexander Gauland,AfD/Petry,negative,LN
1013067433362542593,Alexander Gauland,AfD/Petry,positive,TLN
1013052229757087744,Alexander Gauland,AfD/Petry,positive,TLN
1005037997233000448,Alexander Gauland,AfD/Petry,negative,LN
1005483649452728320,Alexander Gauland,AfD/Petry,neither,FNLN
1012979566007275521,Alexander Gauland,AfD/Petry,negative,LN
1014918825777795072,Alexander Gauland,AfD/Petry,negative,LN
1017415160007233543,Alexander Gauland,AfD/Petry,negative,LN
1003983668329795585,Alexander Gauland,AfD/Petry,negative,LN
1014445954156593152,Alexander Gauland,AfD/Petry,positive,LN
1012980756849807363,Alexander Gauland,AfD/Petry,positive,LN
1004273931556216832,Alexander Gauland,AfD/Petry,negative,LN
1019221462677446657,Alexander Gauland,AfD/Petry,positive,TLN
1005039221156073472,Alexander Gauland,AfD/Petry,positive,TLN
1004677116657655808,Alexander Gauland,AfD/Petry,positive,TLN
1003686898982883329,Alexander Gauland,AfD/Petry,negative,LN
1013882093254905856,Alexander Gauland,AfD/Petry,neither,TLN
1004333802905272320,Alexander Gauland,AfD/Petry,positive,TLN
1006051900641435648,Alexander Gauland,AfD/Petry,negative,TLN
1005435091429060608,Alexander Gauland,AfD/Petry,negative,TLN
1013049716966387712,Alexander Gauland,AfD/Petry,negative,LN
1003639179660709888,Alexander Gauland,AfD/Petry,neither,LN
1007740497295749121,Alexander Gauland,AfD/Petry,neither,TLN
1014502803987890177,Alexander Gauland,AfD/Petry,positive,TFNLN
1004291587982155776,Alexander Gauland,AfD/Petry,negative,FNLN
